Date,vaderSentiment,BERTSentiment,SpaCySentiment
2020-12-20,0.213,-0.9943334460258484,0.0
2020-12-13,-0.016,0.977867603302002,-0.5
2020-12-12,0.118,-0.9897332191467285,0.0
2020-12-12,0.0,0.9938799142837524,-0.05
2020-12-12,0.293,-0.9990293383598328,0.4
2020-12-12,0.126,-0.9955678582191467,-0.1
2020-12-12,0.0,-0.9934913516044617,0.0
2020-12-12,0.0,-0.992824375629425,0.25
2020-12-12,0.0,-0.8622276186943054,0.04166666666666667
2020-12-12,0.0,-0.9439094066619873,0.0
2020-12-12,0.0,-0.9664969444274902,0.06818181818181818
2020-12-12,-0.04400000000000001,-0.9943116903305054,-0.5
2020-12-12,-0.13100000000000003,-0.9996722936630249,-0.5
2020-12-12,0.102,-0.995651364326477,0.0
2020-12-12,0.0,-0.8622276186943054,0.04166666666666667
2020-12-12,-0.01100000000000001,0.9836116433143616,0.0
2020-12-12,0.0,-0.9976413249969482,-0.05
2020-12-12,0.22,-0.9889220595359802,0.0
2020-12-12,0.349,0.9994176626205444,0.51
2020-12-12,0.0,-0.9678341746330261,0.0
2020-12-12,-0.07400000000000001,-0.9890838265419006,0.05
2020-12-12,-0.128,-0.9986372590065002,-0.5
2020-12-12,0.177,-0.9794318675994873,0.0
2020-12-12,0.095,-0.9489779472351074,-0.08333333333333333
2020-12-12,0.0,-0.994259774684906,0.0
2020-12-12,0.0,-0.9937047362327576,0.0
2020-12-12,0.0,0.997251570224762,0.0
2020-12-12,0.0,-0.9507163166999817,0.0
2020-12-12,0.0,-0.9912810325622559,-0.125
2020-12-12,0.0,-0.9965542554855347,0.0
2020-12-12,0.0,-0.981026291847229,0.0
2020-12-12,0.0,-0.8622276186943054,0.04166666666666667
2020-12-12,-0.271,-0.9757375717163086,0.0
2020-12-20,-0.054000000000000006,-0.995736300945282,0.0
2020-12-18,0.0,0.8952909111976624,0.0
2020-12-18,-0.076,-0.9986328482627869,0.0
2020-12-14,0.0,-0.895071268081665,0.1
2020-12-14,0.0,-0.9781482815742493,0.25
2020-12-14,0.0,-0.9961490631103516,0.0
2020-12-14,0.0,-0.8054972290992737,0.0
2020-12-14,0.367,0.9998421669006348,0.26666666666666666
2020-12-14,0.0,-0.976414144039154,0.25
2020-12-14,0.0,0.9718577265739441,0.125
2020-12-14,0.0,-0.9974340796470642,0.4
2020-12-14,0.0,-0.9939728379249573,0.0
2020-12-14,0.15,-0.9942305684089661,0.0
2020-12-14,-0.176,-0.9763489961624146,-0.07777777777777779
2020-12-14,0.0,-0.9939279556274414,0.0
2020-12-14,0.172,0.9496259689331055,-0.25
2020-12-14,-0.156,-0.9977981448173523,-0.5
2020-12-14,-0.206,0.8225207328796387,0.0
2020-12-14,-0.124,-0.9997884631156921,-0.5
2020-12-14,0.153,-0.6801642775535583,0.3166666666666667
2020-12-14,0.0,-0.9928815960884094,0.125
2020-12-14,0.0,-0.9882310032844543,0.0
2020-12-14,0.112,-0.8064007759094238,0.1
2020-12-14,0.05500000000000001,-0.9858695268630981,0.0
